epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,2549.11,1.44983,1.38707,1.50404,0.62352,0.57143,0.57723,0.20971,2.14942,2.12598,2.77451,0.000886694,0.000886694,0.000886694
117,2571.04,1.4652,1.45138,1.52282,0.44068,0.71429,0.52258,0.1426,2.22719,2.22094,2.9194,0.000881979,0.000881979,0.000881979
118,2592.07,1.44949,1.42011,1.5057,0.52213,0.64286,0.4307,0.13015,2.32062,2.38155,2.97946,0.000877263,0.000877263,0.000877263
119,2613.2,1.41762,1.37951,1.49394,0.3732,0.42857,0.35118,0.15604,2.34558,2.02681,2.94199,0.000872547,0.000872547,0.000872547
120,2634.37,1.45082,1.39224,1.49945,0.5208,0.64286,0.55043,0.19024,2.31955,2.00703,2.92132,0.000867832,0.000867832,0.000867832
121,2660.19,1.41681,1.35213,1.46579,0.46009,0.35714,0.40087,0.14357,2.3214,2.21303,3.01504,0.000863116,0.000863116,0.000863116
122,2681.75,1.41403,1.36039,1.48033,0.54992,0.35714,0.48123,0.1716,2.15486,2.29947,2.87038,0.0008584,0.0008584,0.0008584
123,2706.92,1.41656,1.35359,1.46736,0.28627,0.5,0.35455,0.14001,2.18131,2.35131,2.82346,0.000853685,0.000853685,0.000853685
124,2731.65,1.40296,1.35023,1.45919,0.44393,0.35714,0.37269,0.17258,2.2849,2.27331,2.90605,0.000848969,0.000848969,0.000848969
125,2753.31,1.39549,1.35207,1.46322,0.29499,0.42857,0.28996,0.12657,2.39754,2.13768,3.11413,0.000844253,0.000844253,0.000844253
126,2774.27,1.41918,1.34597,1.45253,0.496,0.77371,0.53852,0.1548,2.34916,1.95754,3.17954,0.000839537,0.000839537,0.000839537
127,2798.99,1.38703,1.27332,1.44404,0.45794,0.71429,0.47158,0.17262,2.25959,2.2647,3.02513,0.000834822,0.000834822,0.000834822
128,2820.47,1.38047,1.32361,1.43775,0.43184,0.59804,0.35803,0.11646,2.3067,2.5636,3.02726,0.000830106,0.000830106,0.000830106
129,2841.64,1.40622,1.35084,1.47411,0.4692,0.71429,0.54877,0.19602,2.22861,2.05186,2.82594,0.00082539,0.00082539,0.00082539
130,2862.81,1.37656,1.2677,1.43124,0.62019,0.42857,0.44788,0.1787,2.04839,2.11425,2.72783,0.000820675,0.000820675,0.000820675
131,2884.15,1.3953,1.30525,1.43986,0.40666,0.49009,0.43155,0.17093,2.14127,2.19206,2.73542,0.000815959,0.000815959,0.000815959
132,2905.3,1.38645,1.32722,1.44805,0.33129,0.71429,0.35415,0.12091,2.16013,2.41091,2.95638,0.000811243,0.000811243,0.000811243
133,2926.65,1.37135,1.28127,1.43604,0.3524,0.64286,0.45245,0.18277,2.15787,2.45468,2.90253,0.000806528,0.000806528,0.000806528
134,2947.91,1.37284,1.30059,1.43136,0.49233,0.5,0.39663,0.16597,2.16876,2.14188,2.84433,0.000801812,0.000801812,0.000801812
135,2971.73,1.36615,1.25341,1.43188,0.40732,0.78571,0.42564,0.10471,2.29455,2.26195,3.10238,0.000797096,0.000797096,0.000797096
136,2998.12,1.35562,1.26284,1.4163,0.4943,0.57143,0.4917,0.16258,2.35069,2.31644,3.21268,0.00079238,0.00079238,0.00079238
137,3019.99,1.37019,1.2515,1.43124,0.5942,0.62836,0.50615,0.16512,2.14486,2.17543,2.89068,0.000787665,0.000787665,0.000787665
138,3041.3,1.39251,1.31552,1.44371,0.4619,0.57143,0.43978,0.13396,2.01415,2.27915,2.72364,0.000782949,0.000782949,0.000782949
139,3062.23,1.3559,1.2814,1.42497,0.61297,0.57143,0.55219,0.18728,2.12682,1.91296,2.79694,0.000778233,0.000778233,0.000778233
140,3088.24,1.38154,1.25696,1.42616,0.58629,0.64286,0.608,0.21877,2.05607,2.02459,2.87635,0.000773518,0.000773518,0.000773518
141,3119.26,1.3793,1.24669,1.45045,0.38357,0.57143,0.39237,0.20694,2.18898,2.55606,2.95408,0.000768802,0.000768802,0.000768802
142,3140.71,1.33695,1.24053,1.41405,0.36058,0.5,0.39996,0.18155,2.21948,2.53668,2.90828,0.000764086,0.000764086,0.000764086
143,3161.83,1.33606,1.22744,1.42609,0.48609,0.5,0.45352,0.18623,2.13393,2.52249,2.83486,0.000759371,0.000759371,0.000759371
144,3182.93,1.34113,1.21636,1.396,0.51944,0.21429,0.22116,0.11709,2.35538,2.79832,3.0076,0.000754655,0.000754655,0.000754655
145,3209.15,1.35554,1.23411,1.42897,0.55884,0.57143,0.50968,0.21822,2.19676,2.21988,2.92492,0.000749939,0.000749939,0.000749939
146,3236.45,1.33518,1.21676,1.41435,0.40317,0.57143,0.48513,0.16582,2.20632,2.39536,2.97216,0.000745223,0.000745223,0.000745223
